Date Received,Product Name,Sub Product,Issue,Sub Issue,Consumer Complaint Narrative,Company Public Response,Company,State Name,Zip Code,Tags,Consumer Consent Provided,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ocwen,MA,2368,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469334
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",FL,33133,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469340
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,CIT Bank National Association,NY,11101,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,469487
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,91701,,N/A,Web,2013-08-01,Closed with explanation,Yes,No,469394
2013-07-29,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Alpine Financial Solutions, Inc.",KY,42303,Older American,N/A,Postal mail,2013-12-04,Closed with explanation,Yes,No,469408
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,TN,37218,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469411
2013-07-29,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo & Company,NJ,8618,Older American,N/A,Phone,2013-07-30,Closed with explanation,Yes,No,469414
2013-07-29,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Citibank,GA,30135,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469423
2013-07-29,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,MO,64725,,N/A,Fax,2013-07-29,Closed with explanation,Yes,No,479282
2013-07-29,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,U.S. Bancorp,MN,55414,,N/A,Web,2013-08-01,Closed with non-monetary relief,Yes,No,469428
2013-07-29,Credit card,,Billing disputes,,,,Capital One,FL,32226,Servicemember,N/A,Web,2013-07-29,Closed with explanation,Yes,No,475777
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,CA,92277,,N/A,Web,2013-08-05,Closed with explanation,Yes,No,469446
2013-07-29,Bank account or service,Checking account,"Account opening, closing, or management",,,,First Tennessee Bank,TN,37806,Servicemember,N/A,Phone,2013-07-30,Closed with explanation,Yes,Yes,469447
2013-07-29,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,Discover,MA,2043,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,467427
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,91741,,N/A,Phone,2013-07-30,Closed with explanation,Yes,No,464039
2013-07-29,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Bank of America,CA,91320,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,469461
2013-07-29,Credit card,,Credit line increase/decrease,,,,Citibank,WI,53066,Older American,N/A,Phone,2013-07-30,Closed with explanation,Yes,Yes,469473
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,CA,95765,,N/A,Web,2013-07-30,Closed with explanation,Yes,Yes,469479
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,CA,95363,,N/A,Phone,2013-07-31,Closed,Yes,No,469499
2013-07-29,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,"Borenstein & Associates, LLC",WY,82605,,N/A,Web,2013-09-17,Closed,Yes,No,469501
2013-07-29,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"Houston Home Loan, Inc.",TX,77386,,N/A,Web,2013-08-30,Closed with explanation,Yes,Yes,469513
2013-07-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NY,10038,,N/A,Web,2013-08-13,Closed,Yes,No,480183
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,VA,24112,Older American,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469525
2013-07-29,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,Bank of America,NY,11716,"Older American, Servicemember",N/A,Phone,2013-08-01,Closed with explanation,Yes,No,469537
2013-07-29,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CT,6514,,N/A,Referral,2013-08-21,Closed with explanation,Yes,No,469507
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,People's United Bank,CT,6514,,N/A,Referral,2013-07-31,Closed with explanation,Yes,No,469508
2013-07-29,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,"Citizens Financial Group, Inc.",VT,5770,Servicemember,N/A,Web,2013-08-01,Closed with non-monetary relief,Yes,No,469589
2013-07-30,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,Ally Financial Inc.,MI,48238,,N/A,Fax,2013-08-01,Closed with explanation,Yes,No,469241
2013-07-29,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,"Asset Management Outsourcing, Inc.",NY,11030,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,469606
2013-07-30,Credit card,,Payoff process,,,,Wells Fargo & Company,NV,89108,Servicemember,N/A,Phone,2013-08-02,Closed with explanation,Yes,No,470828
2013-07-30,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,CA,95219,,N/A,Web,2013-07-31,Closed with non-monetary relief,Yes,No,470831
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,TD Bank US Holding Company,NJ,7656,,N/A,Postal mail,2013-07-31,Closed with monetary relief,Yes,No,480463
2013-07-29,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"TransUnion Intermediate Holdings, Inc.",CO,80247,,N/A,Web,2013-07-29,Closed with non-monetary relief,Yes,No,479873
2013-07-30,Bank account or service,Checking account,Using a debit or ATM card,,,,JPMorgan Chase & Co.,NY,11772,,N/A,Web,2013-08-01,Closed with explanation,Yes,No,472678
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,33326,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,469641
2013-07-30,Bank account or service,Savings account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NY,10469,,N/A,Web,2013-08-01,Closed with explanation,Yes,No,470665
2013-07-30,Credit card,,Closing/Cancelling account,,,,Citibank,TX,78249,,N/A,Web,2013-07-30,Closed with explanation,Yes,Yes,470852
2013-07-31,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,GA,30680,,N/A,Web,2013-08-01,Closed with non-monetary relief,Yes,Yes,470863
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MI,49042,,N/A,Referral,2013-08-02,Closed with explanation,Yes,No,469653
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,11230,,N/A,Referral,2013-07-30,Closed with explanation,Yes,No,455630
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,95020,,N/A,Referral,2013-07-31,Closed with explanation,Yes,No,469660
2013-07-29,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AZ,85138,,N/A,Referral,2013-07-30,Closed with explanation,Yes,Yes,467092
2013-07-29,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NY,10803,,N/A,Referral,2013-07-30,Closed with explanation,Yes,Yes,469664
2013-07-29,Credit reporting,,Incorrect information on credit report,Account status,,,Ocwen,MA,2126,,N/A,Referral,2013-08-01,Closed,Yes,No,469666
2013-07-31,Credit card,,Billing statement,,,,JPMorgan Chase & Co.,DE,19809,,N/A,Web,2013-07-30,Closed with monetary relief,Yes,No,479338
2013-07-31,Bank account or service,Checking account,Deposits and withdrawals,,,,Santander Bank US,NJ,7106,,N/A,Web,2013-08-01,Closed with explanation,Yes,No,470903
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,OH,44112,Older American,N/A,Phone,2013-07-30,Closed with explanation,Yes,No,469669
2013-07-29,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,NY,14622,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,469670
2013-07-31,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Encore Capital Group,NY,14212,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,487029
2013-07-29,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,IN,47265,Older American,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469678
2013-07-30,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Fidelity National Information Services, Inc. (FNIS)",CO,81302,,N/A,Web,2013-09-17,Closed with explanation,Yes,No,469732
2013-07-31,Credit card,,Payoff process,,,,Citibank,NJ,7018,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,480935
2013-07-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NY,14212,,N/A,Web,2013-07-31,Closed with explanation,Yes,Yes,493136
2013-07-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,95037,,N/A,Web,2013-07-31,Closed with explanation,Yes,Yes,454695
2013-07-30,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,,,"Navient Solutions, Inc.",NY,10026,,N/A,Web,2013-07-29,Closed with explanation,Yes,No,469736
2013-07-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Citibank,CA,90045,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,748242
2013-07-31,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,The Moore Law Group,CA,91711,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,470913
2013-07-30,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Franklin Collection Service, Inc.",IL,60440,,N/A,Phone,2013-08-01,Closed with explanation,Yes,No,469711
2013-07-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,HSBC North America Holdings Inc.,FL,32747,,N/A,Web,2013-07-31,Closed with explanation,Yes,Yes,482443
2013-07-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,EverBank,TN,37217,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469734
2013-07-31,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",DE,19668,,N/A,Postal mail,2013-08-26,Closed with explanation,Yes,No,501508
2013-07-30,Credit card,,Credit determination,,,,Wells Fargo & Company,CA,95409,Older American,N/A,Web,2013-07-29,Closed with explanation,Yes,No,469738
2013-07-30,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,CO,80206,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469739
2013-07-30,Credit card,,Credit determination,,,,Bank of America,FL,34983,,N/A,Web,2013-07-31,Closed with explanation,Yes,Yes,469752
2013-07-30,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Professional Debt Mediation, Inc.",FL,32304,,N/A,Web,2013-09-19,Closed with explanation,Yes,No,469753
2013-07-30,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,"Select Portfolio Servicing, Inc",NY,11234,,N/A,Web,2013-07-29,Closed with explanation,Yes,Yes,466892
2013-07-30,Credit card,,Identity theft / Fraud / Embezzlement,,,,Barclays PLC,SC,29412,,N/A,Web,2013-07-29,Closed with explanation,Yes,No,469755
2013-07-31,Credit reporting,,Incorrect information on credit report,Account terms,,,Capital One,GA,30126,,N/A,Web,2013-08-02,Closed with explanation,Yes,No,470928
2013-07-30,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,91320,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,476001
2013-07-31,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,NC,28075,Servicemember,N/A,Referral,2013-08-05,Closed with explanation,Yes,No,470978
2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,MN,55390,,N/A,Postal mail,2013-08-12,Closed with explanation,Yes,No,469777
2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IA,50325,,N/A,Postal mail,2013-08-12,Closed with explanation,Yes,No,469781
2013-07-30,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",OH,43701,,N/A,Web,2013-07-30,Closed with explanation,Yes,Yes,479487
2013-07-31,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,IL,60633,,N/A,Postal mail,2013-08-02,Closed with non-monetary relief,Yes,No,470951
2013-07-31,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,,Receivables Performance Management LLC,NY,11205,,N/A,Web,2013-07-31,Closed with explanation,Yes,Yes,470955
2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,NC,28457,,N/A,Referral,2013-07-31,Closed with explanation,Yes,No,470012
2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,AL,36526,,N/A,Referral,2013-07-31,Closed with explanation,Yes,No,470091
2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NJ,7111,,N/A,Referral,2013-08-19,Closed with non-monetary relief,Yes,No,469792
2013-07-31,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"TransUnion Intermediate Holdings, Inc.",IL,60633,,N/A,Postal mail,2013-08-02,Closed with explanation,Yes,No,470962
2013-07-31,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,FL,33186,,N/A,Referral,2013-08-02,Closed with monetary relief,Yes,No,471071
2013-07-31,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,U.S. Bancorp,WI,53130,,N/A,Referral,2013-08-05,Closed with explanation,Yes,No,470985
2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,93111,,N/A,Referral,2013-07-31,Closed with explanation,Yes,No,470103
2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,AL,36854,,N/A,Referral,2013-07-31,Closed with monetary relief,Yes,No,470206
2013-07-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33558,,N/A,Phone,2013-11-03,Closed with explanation,Yes,No,470970
2013-07-30,Credit card,,APR or interest rate,,,,Amex,MA,2215,,N/A,Referral,2013-08-02,Closed with explanation,Yes,No,470132
2013-07-30,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,"Convergent Resources, Inc.",NV,89074,,N/A,Referral,2013-08-01,Closed,Yes,No,469810
2013-07-30,Credit card,,Billing disputes,,,,Amex,NY,12060,,N/A,Referral,2013-08-02,Closed with explanation,Yes,Yes,470151
2013-07-30,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,TX,78239,,N/A,Fax,2013-07-31,Closed with explanation,Yes,Yes,475278
2013-07-31,Credit card,,Transaction issue,,,,Discover,OR,97086,,N/A,Referral,2013-08-02,Closed with non-monetary relief,Yes,No,471053
2013-07-31,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,30121,,N/A,Referral,2013-09-19,Closed with explanation,Yes,No,535169
2013-07-30,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,VA,20878,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,474284
2013-07-31,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,MI,48439,,N/A,Postal mail,2013-08-26,Closed with explanation,Yes,No,471000
2013-07-30,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,21078,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,479648
2013-07-31,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Provident Funding,CT,6106,,N/A,Web,2013-08-05,Closed with explanation,Yes,No,474893
2013-07-31,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,,Bank of America,NY,11581,,N/A,Web,2013-08-05,Closed with explanation,Yes,Yes,471014
2013-07-31,Credit card,,Balance transfer fee,,,,Discover,CA,91356,,N/A,Web,2013-07-31,Closed with non-monetary relief,Yes,No,470488
2013-07-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,GA,30121,,N/A,Web,2013-07-31,Closed with non-monetary relief,Yes,Yes,471164
2013-07-31,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Specialized Loan Servicing LLC,CA,94565,,N/A,Web,2013-08-05,Closed,Yes,No,471015
2013-07-30,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,IL,60626,,N/A,Phone,2013-07-31,Closed with monetary relief,Yes,No,469836
2013-07-31,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",OR,97236,,N/A,Postal mail,2013-08-20,Closed with explanation,Yes,No,471021
2013-07-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,OK,73053,Older American,N/A,Web,2013-07-30,Closed with explanation,Yes,No,468212
2013-07-30,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,CIT Bank National Association,FL,34237,,N/A,Referral,2013-07-31,Closed with explanation,Yes,Yes,479907
2013-07-31,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MO,63456,,N/A,Web,2013-08-06,Closed with non-monetary relief,Yes,No,480943
2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,MO,64048,,N/A,Referral,2013-07-31,Closed with explanation,Yes,No,470235
2013-07-31,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,CA,95117,,N/A,Postal mail,2013-08-05,Closed with explanation,Yes,No,471037
2013-07-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,SC,29212,Servicemember,N/A,Referral,2013-07-31,Closed with explanation,Yes,Yes,470298
2013-07-31,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,Total Recovery Solutions,TX,77551,,N/A,Web,2013-08-16,Closed with explanation,Yes,Yes,482436
2013-07-31,Credit card,,Billing disputes,,,,Bank of America,MT,59446,,N/A,Phone,2013-08-02,Closed with monetary relief,Yes,No,471048
2013-07-31,Credit reporting,,Incorrect information on credit report,Public record,,,Experian,AL,35124,,N/A,Web,2013-07-31,Closed with non-monetary relief,Yes,No,476098
2013-07-30,Mortgage,Other mortgage,Other,,,,Ditech Financial LLC,NH,3431,,N/A,Referral,2013-08-02,Closed with explanation,Yes,No,469980
2013-07-31,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Afni, Inc.",NY,14623,,N/A,Postal mail,2013-07-31,Closed with explanation,Yes,Yes,461803
2013-07-31,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,PA,19015,,N/A,Web,2013-08-02,Closed with explanation,Yes,No,473955
2013-07-30,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,TX,76706,,N/A,Web,2013-07-30,Closed with explanation,Yes,No,470018
2013-07-30,Debt collection,Auto,Communication tactics,Frequent or repeated calls,,,Santander Consumer USA Holdings Inc,IL,62650,Servicemember,N/A,Web,2013-07-30,Closed with explanation,Yes,No,469982
2013-07-30,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,BMW Financial Services,IL,60601,,N/A,Web,2013-07-31,Closed with explanation,Yes,No,469979
